index,geocode_status,geocode_reason,lat_geocoded,lon_geocoded,geocode_label,geocode_feature_id,geocode_raw,address
0,success,Geocoding successful.,47.515960693359375,8.766396522521973,Albert-Einstein-Strasse 1 <b>8404 Winterthur</b>,210294075_0,"{'attrs': {'detail': 'albert-einstein-strasse 1 8404 winterthur 230 winterthur ch zh', 'featureId': '210294075_0', 'geom_quadindex': '030010123032101321200', 'geom_st_box2d': 'BOX(8.766385 47.515964,8.766385 47.515964)', 'label': 'Albert-Einstein-Strasse 1 <b>8404 Winterthur</b>', 'lat': 47.515960693359375, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/102608124', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210294075_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.766396522521973, 'num': 1, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.766396522521973, 'y': 47.515960693359375, 'zoomlevel': 10}, 'id': 2894507, 'weight': 1}","Albert-Einstein-Strasse 1, 8404 Winterthur"
1,success,Geocoding successful.,47.50071334838867,8.71477222442627,Schützenwiesenweg 8 <b>8400 Winterthur</b>,191993323_0,"{'attrs': {'detail': 'schuetzenwiesenweg 8 8400 winterthur 230 winterthur ch zh', 'featureId': '191993323_0', 'geom_quadindex': '030010211030201332111', 'geom_st_box2d': 'BOX(8.714759 47.500716,8.714759 47.500716)', 'label': 'Schützenwiesenweg 8 <b>8400 Winterthur</b>', 'lat': 47.50071334838867, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103342130', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/191993323_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.71477222442627, 'num': 8, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.71477222442627, 'y': 47.50071334838867, 'zoomlevel': 10}, 'id': 2298888, 'weight': 1}","Schützenwiesenweg 8, 8400 Winterthur"
2,success,Geocoding successful.,47.517913818359375,8.691790580749512,Sporrerpark 2 <b>8408 Winterthur</b>,191975144_0,"{'attrs': {'detail': 'sporrerpark 2 8408 winterthur 230 winterthur ch zh', 'featureId': '191975144_0', 'geom_quadindex': '030010032030301301132', 'geom_st_box2d': 'BOX(8.691777 47.517917,8.691777 47.517917)', 'label': 'Sporrerpark 2 <b>8408 Winterthur</b>', 'lat': 47.517913818359375, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103245645', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/191975144_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.691790580749512, 'num': 2, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.691790580749512, 'y': 47.517913818359375, 'zoomlevel': 10}, 'id': 2798688, 'weight': 1}","Sporrerpark 2, 8408 Winterthur"
3,success,Geocoding successful.,47.51807403564453,8.692368507385254,Sporrerpark 5 <b>8408 Winterthur</b>,191975148_1,"{'attrs': {'detail': 'sporrerpark 5 8408 winterthur 230 winterthur ch zh', 'featureId': '191975148_1', 'geom_quadindex': '030010032030133223122', 'geom_st_box2d': 'BOX(8.692355 47.518076,8.692355 47.518076)', 'label': 'Sporrerpark 5 <b>8408 Winterthur</b>', 'lat': 47.51807403564453, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103245650', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/191975148_1', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.692368507385254, 'num': 5, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.692368507385254, 'y': 47.51807403564453, 'zoomlevel': 10}, 'id': 2524187, 'weight': 1}","Sporrerpark 5, 8408 Winterthur"
4,success,Geocoding successful.,47.518089294433594,8.692178726196289,Sporrerpark 4 <b>8408 Winterthur</b>,191975148_0,"{'attrs': {'detail': 'sporrerpark 4 8408 winterthur 230 winterthur ch zh', 'featureId': '191975148_0', 'geom_quadindex': '030010032030132323101', 'geom_st_box2d': 'BOX(8.692165 47.518092,8.692165 47.518092)', 'label': 'Sporrerpark 4 <b>8408 Winterthur</b>', 'lat': 47.518089294433594, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103245649', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/191975148_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.692178726196289, 'num': 4, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.692178726196289, 'y': 47.518089294433594, 'zoomlevel': 10}, 'id': 2885908, 'weight': 1}","Sporrerpark 4, 8408 Winterthur"
5,success,Geocoding successful.,47.49842071533203,8.749279975891113,St. Gallerstrasse 133 <b>8404 Winterthur</b>,192049948_0,"{'attrs': {'detail': 'st. gallerstrasse 133 8404 winterthur 230 winterthur ch zh', 'featureId': '192049948_0', 'geom_quadindex': '030010300123210101333', 'geom_st_box2d': 'BOX(8.749267 47.498421,8.749267 47.498421)', 'label': 'St. Gallerstrasse 133 <b>8404 Winterthur</b>', 'lat': 47.49842071533203, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103549393', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/192049948_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.749279975891113, 'num': 133, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.749279975891113, 'y': 47.49842071533203, 'zoomlevel': 10}, 'id': 2272478, 'weight': 1}","St. Gallerstrasse 133, 8404 Winterthur"
6,success,Geocoding successful.,47.49431228637695,8.74888801574707,Grüzefeldstrasse 34 <b>8400 Winterthur</b>,210215067_0,"{'attrs': {'detail': 'gruezefeldstrasse 34 8400 winterthur 230 winterthur ch zh', 'featureId': '210215067_0', 'geom_quadindex': '030010300303023313331', 'geom_st_box2d': 'BOX(8.748876 47.494314,8.748876 47.494314)', 'label': 'Grüzefeldstrasse 34 <b>8400 Winterthur</b>', 'lat': 47.49431228637695, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/102243786', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210215067_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.74888801574707, 'num': 34, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.74888801574707, 'y': 47.49431228637695, 'zoomlevel': 10}, 'id': 2084633, 'weight': 1}","Grüzefeldstrasse 34, 8400 Winterthur"
7,success,Geocoding successful.,47.518619537353516,8.759608268737793,Guggenbühlstrasse 140a <b>8404 Winterthur</b>,210261475_0,"{'attrs': {'detail': 'guggenbuehlstrasse 140a 8404 winterthur 230 winterthur ch zh', 'featureId': '210261475_0', 'geom_quadindex': '030010123002322000002', 'geom_st_box2d': 'BOX(8.759596 47.51862,8.759596 47.51862)', 'label': 'Guggenbühlstrasse 140a <b>8404 Winterthur</b>', 'lat': 47.518619537353516, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/102513487', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210261475_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.759608268737793, 'num': 140, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.759608268737793, 'y': 47.518619537353516, 'zoomlevel': 10}, 'id': 2777447, 'weight': 1}","Guggenbühlstrasse 140a, 8404 Winterthur"
8,success,Geocoding successful.,47.493141174316406,8.745187759399414,Hörnlistrasse 31 <b>8400 Winterthur</b>,191953253_0,"{'attrs': {'detail': 'hoernlistrasse 31 8400 winterthur 230 winterthur ch zh', 'featureId': '191953253_0', 'geom_quadindex': '030010300320000120213', 'geom_st_box2d': 'BOX(8.745175 47.493142,8.745175 47.493142)', 'label': 'Hörnlistrasse 31 <b>8400 Winterthur</b>', 'lat': 47.493141174316406, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103025049', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/191953253_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.745187759399414, 'num': 31, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.745187759399414, 'y': 47.493141174316406, 'zoomlevel': 10}, 'id': 2890991, 'weight': 1}","Hörnlistrasse 31, 8400 Winterthur"
9,success,Geocoding successful.,47.491912841796875,8.760793685913086,Im Hölderli 3 <b>8405 Winterthur</b>,191953634_0,"{'attrs': {'detail': 'im hoelderli 3 8405 winterthur 230 winterthur ch zh', 'featureId': '191953634_0', 'geom_quadindex': '030010301221200130201', 'geom_st_box2d': 'BOX(8.760781 47.491913,8.760781 47.491913)', 'label': 'Im Hölderli 3 <b>8405 Winterthur</b>', 'lat': 47.491912841796875, 'links': [{'href': '/rest/services/ech/MapServer/ch.swisstopo.amtliches-gebaeudeadressverzeichnis/103030670', 'rel': 'related', 'title': 'ch.swisstopo.amtliches-gebaeudeadressverzeichnis'}, {'href': '/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/191953634_0', 'rel': 'related', 'title': 'ch.bfs.gebaeude_wohnungs_register'}], 'lon': 8.760793685913086, 'num': 3, 'objectclass': '', 'origin': 'address', 'rank': 7, 'x': 8.760793685913086, 'y': 47.491912841796875, 'zoomlevel': 10}, 'id': 2309726, 'weight': 1}","Im Hölderli 3, 8405 Winterthur"
